numero,nom,rarete,type,scan_fr
029/086,Pharamp,Rare,Electrique,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_029_R_FR_LG.png
030/086,Emolga,Commune,Electrique,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_030_R_FR_LG.png
031/086,Deoxys,Peu commune,Psy,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_031_R_FR_LG.png
032/086,Deoxys,Peu commune,Psy,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_032_R_FR_LG.png
033/086,Deoxys,Peu commune,Psy,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_033_R_FR_LG.png
034/086,Deoxys,Peu commune,Psy,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_034_R_FR_LG.png
035/086,Mega-Floette-ex,Double rare,Psy,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_035_R_FR_LG.png
036/086,Psystigri,Commune,Psy,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_036_R_FR_LG.png
037/086,Mistigrix,Peu commune,Psy,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_037_R_FR_LG.png
038/086,Brocelome,Commune,Psy,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_038_R_FR_LG.png
039/086,Desseliande,Rare,Psy,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_039_R_FR_LG.png
040/086,Pitrouille,Commune,Psy,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_040_R_FR_LG.png
041/086,Banshitrouye-ex,Double rare,Psy,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_041_R_FR_LG.png
042/086,Xerneas,Rare,Psy,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_042_R_FR_LG.png
043/086,Simularbre,Peu commune,Combat,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_043_R_FR_LG.png
044/086,Phanpy,Commune,Combat,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_044_R_FR_LG.png
045/086,Donphan,Commune,Combat,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_045_R_FR_LG.png
046/086,Balbuto,Commune,Combat,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_046_R_FR_LG.png
047/086,Kaorine,Peu commune,Combat,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_047_R_FR_LG.png
048/086,Mega-Gallame-ex,Double rare,Combat,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_048_R_FR_LG.png
049/086,Nosferapti,Commune,Obscurite,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_049_R_FR_LG.png
050/086,Nosferalto,Commune,Obscurite,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_050_R_FR_LG.png
051/086,Nostenfer,Rare,Obscurite,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_051_R_FR_LG.png
052/086,Qwilfish,Commune,Obscurite,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_052_R_FR_LG.png
053/086,Moufouette,Commune,Obscurite,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_053_R_FR_LG.png
054/086,Moufflair,Peu commune,Obscurite,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_054_R_FR_LG.png
055/086,Crocorible-ex,Double rare,Obscurite,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_055_R_FR_LG.png
056/086,Miamiasme,Commune,Obscurite,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_056_R_FR_LG.png
057/086,Miasmax,Peu commune,Obscurite,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_057_R_FR_LG.png
058/086,Venalgue,Commune,Obscurite,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_058_R_FR_LG.png
059/086,Terhal,Commune,Metal,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_059_R_FR_LG.png
060/086,Metang,Commune,Metal,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_060_R_FR_LG.png
061/086,Metalosse,Peu commune,Metal,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_061_R_FR_LG.png
062/086,Grindur,Commune,Metal,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_062_R_FR_LG.png
063/086,Noacier,Peu commune,Metal,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_063_R_FR_LG.png
064/086,Cobaltium-ex,Double rare,Metal,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_064_R_FR_LG.png
065/086,Mega-Kravarech-ex,Double rare,Dragon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_065_R_FR_LG.png
066/086,Mucuscule,Commune,Dragon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_066_R_FR_LG.png
067/086,Colimucus,Commune,Dragon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_067_R_FR_LG.png
068/086,Muplodocus,Rare,Dragon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_068_R_FR_LG.png
069/086,Tauros,Peu commune,Incolore,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_069_R_FR_LG.png
070/086,Ratentif,Commune,Incolore,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_070_R_FR_LG.png
071/086,Miradar,Commune,Incolore,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_071_R_FR_LG.png
072/086,Chinchidou,Commune,Incolore,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_072_R_FR_LG.png
073/086,Pashmilla-ex,Double rare,Incolore,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_073_R_FR_LG.png
074/086,Assurance Adversite,Peu commune,Outil Pokemon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_074_R_FR_LG.png
075/086,Ange Floette,Peu commune,Stade,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_075_R_FR_LG.png
076/086,Tranquillite d'A.Z.,Peu commune,Supporter,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_076_R_FR_LG.png
077/086,Millie,Peu commune,Supporter,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_077_R_FR_LG.png
078/086,Filet Grande Prise,Peu commune,Objet,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_078_R_FR_LG.png
079/086,Gypso,Peu commune,Supporter,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_079_R_FR_LG.png
080/086,Tour Prismatique,Peu commune,Stade,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_080_R_FR_LG.png
081/086,Performance de Strykna,Peu commune,Supporter,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_081_R_FR_LG.png
082/086,Carton Rouge Special,Peu commune,Objet,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_082_R_FR_LG.png
083/086,Tome de Transformation,Peu commune,Objet,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_083_R_FR_LG.png
084/086,Energie Eau Petillante,Rare,Energie speciale,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_084_R_FR_LG.png
085/086,Energie Metal Magnetique,Rare,Energie speciale,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_085_R_FR_LG.png
086/086,Energie Feu Nitro,Rare,Energie speciale,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_086_R_FR_LG.png
087/086,Marisson,Illustration rare,Plante,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_087_R_FR_LG.png
088/086,Grenousse,Illustration rare,Eau,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_088_R_FR_LG.png
089/086,Croaporal,Illustration rare,Eau,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_089_R_FR_LG.png
090/086,Pharamp,Illustration rare,Electrique,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_090_R_FR_LG.png
091/086,Xerneas,Illustration rare,Psy,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_091_R_FR_LG.png
092/086,Kaorine,Illustration rare,Psy,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_092_R_FR_LG.png
093/086,Nostenfer,Illustration rare,Obscurite,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_093_R_FR_LG.png
094/086,Metang,Illustration rare,Metal,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_094_R_FR_LG.png
095/086,Colimucus,Illustration rare,Dragon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_095_R_FR_LG.png
096/086,Tauros,Illustration rare,Incolore,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_096_R_FR_LG.png
097/086,Miradar,Illustration rare,Incolore,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_097_R_FR_LG.png
098/086,Dardargnan-ex,Ultra rare,Plante,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_098_R_FR_LG.png
099/086,Mega-Nemelios-ex,Ultra rare,Feu,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_099_R_FR_LG.png
100/086,Mega-Amphinobi-ex,Ultra rare,Eau,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_100_R_FR_LG.png
101/086,Mega-Floette-ex,Ultra rare,Psy,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_101_R_FR_LG.png
102/086,Banshitrouye-ex,Ultra rare,Psy,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_102_R_FR_LG.png
103/086,Cobaltium-ex,Ultra rare,Metal,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_103_R_FR_LG.png
104/086,Mega-Kravarech-ex,Ultra rare,Dragon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_104_R_FR_LG.png
105/086,Pashmilla-ex,Ultra rare,Incolore,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_105_R_FR_LG.png
106/086,Tranquillite d'A.Z.,Ultra rare,Supporter,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_106_R_FR_LG.png
107/086,Millie,Ultra rare,Supporter,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_107_R_FR_LG.png
108/086,Recuperation d'Energie,Ultra rare,Objet,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_108_R_FR_LG.png
109/086,Glace Geante,Ultra rare,Objet,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_109_R_FR_LG.png
110/086,Gypso,Ultra rare,Supporter,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_110_R_FR_LG.png
111/086,Tour Prismatique,Ultra rare,Stade,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_111_R_FR_LG.png
112/086,Performance de Strykna,Ultra rare,Supporter,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_112_R_FR_LG.png
113/086,Carton Rouge Special,Ultra rare,Objet,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_113_R_FR_LG.png
114/086,Plage de Surf,Ultra rare,Stade,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_114_R_FR_LG.png
115/086,Arrache-Outil,Ultra rare,Objet,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_115_R_FR_LG.png
116/086,Mega-Amphinobi-ex,Illustration speciale rare,Eau,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_116_R_FR_LG.png
117/086,Mega-Floette-ex,Illustration speciale rare,Psy,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_117_R_FR_LG.png
118/086,Mega-Kravarech-ex,Illustration speciale rare,Dragon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_118_R_FR_LG.png
119/086,Pashmilla-ex,Illustration speciale rare,Incolore,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_119_R_FR_LG.png
120/086,Tranquillite d'A.Z.,Illustration speciale rare,Supporter,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_120_R_FR_LG.png
121/086,Performance de Strykna,Illustration speciale rare,Supporter,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_121_R_FR_LG.png
122/086,Mega-Amphinobi-ex,Mega hyper rare,Eau,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_122_R_FR_LG.png
